asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,lat_lon,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,asset_name,asset_type,st_astext
136113516,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,16884,804,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.564711,,Shenhua Baorixile Surface Coal Mine,Lignite,POINT(119.746017 49.391925)
136113489,GBR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,201321.17,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.23,tonnes_coal_extracted,2022-10-10 23:24:31.550595,,Aberpergwm Coal Mine,Anthracite,POINT(-3.644329 51.740824)
136113516,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.564723,,Shenhua Baorixile Surface Coal Mine,Lignite,POINT(119.746017 49.391925)
136113489,GBR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,557348.88,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.23,tonnes_coal_extracted,2022-10-10 23:24:31.550607,,Aberpergwm Coal Mine,Anthracite,POINT(-3.644329 51.740824)
136113516,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,503143.2,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.564746,,Shenhua Baorixile Surface Coal Mine,Lignite,POINT(119.746017 49.391925)
136113490,IDN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,59.7,tonnes_coal_extracted,2022-10-10 23:24:31.55106,,KPC Operation Coal Mine,Bituminous,POINT(117.599032 0.823979)
136113516,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,1392930,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.564757,,Shenhua Baorixile Surface Coal Mine,Lignite,POINT(119.746017 49.391925)
136113490,IDN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,209995,3517.5,tonnes_gas_per_coal_extracted,,coal_mine_depth,,59.7,tonnes_coal_extracted,2022-10-10 23:24:31.551075,,KPC Operation Coal Mine,Bituminous,POINT(117.599032 0.823979)
136113517,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565178,,Shengli No.1 Open-Pit Coal Mine,Lignite,POINT(116.00678 44.002945)
136113490,IDN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,59.7,tonnes_coal_extracted,2022-10-10 23:24:31.551087,,KPC Operation Coal Mine,Bituminous,POINT(117.599032 0.823979)
136113517,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,16884,804,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565191,,Shengli No.1 Open-Pit Coal Mine,Lignite,POINT(116.00678 44.002945)
136113490,IDN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,6257843.55,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,59.7,tonnes_coal_extracted,2022-10-10 23:24:31.551103,,KPC Operation Coal Mine,Bituminous,POINT(117.599032 0.823979)
136113517,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565202,,Shengli No.1 Open-Pit Coal Mine,Lignite,POINT(116.00678 44.002945)
136113490,IDN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,17324566.88,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,59.7,tonnes_coal_extracted,2022-10-10 23:24:31.551115,,KPC Operation Coal Mine,Bituminous,POINT(117.599032 0.823979)
136113517,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,503143.2,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565216,,Shengli No.1 Open-Pit Coal Mine,Lignite,POINT(116.00678 44.002945)
136113491,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,56.97119916,tonnes_coal_extracted,2022-10-10 23:24:31.551561,,North Antelope Rochelle Coal Mine,Subbituminous,POINT(-105.283333 43.566667)
136113517,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,1392930,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.56523,,Shengli No.1 Open-Pit Coal Mine,Lignite,POINT(116.00678 44.002945)
136113491,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,45805,804,tonnes_gas_per_coal_extracted,,coal_mine_depth,,56.97119916,tonnes_coal_extracted,2022-10-10 23:24:31.551574,,North Antelope Rochelle Coal Mine,Subbituminous,POINT(-105.283333 43.566667)
136113518,IND,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565662,,Lakhanpur Coal Mine,Lignite,POINT(83.8401 21.7451)
136113491,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,56.97119916,tonnes_coal_extracted,2022-10-10 23:24:31.551587,,North Antelope Rochelle Coal Mine,Subbituminous,POINT(-105.283333 43.566667)
136113518,IND,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,16884,804,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565674,,Lakhanpur Coal Mine,Lignite,POINT(83.8401 21.7451)
136113491,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,1364984.35,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,56.97119916,tonnes_coal_extracted,2022-10-10 23:24:31.551603,,North Antelope Rochelle Coal Mine,Subbituminous,POINT(-105.283333 43.566667)
136113518,IND,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565686,,Lakhanpur Coal Mine,Lignite,POINT(83.8401 21.7451)
136113491,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,3778899.64,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,56.97119916,tonnes_coal_extracted,2022-10-10 23:24:31.551615,,North Antelope Rochelle Coal Mine,Subbituminous,POINT(-105.283333 43.566667)
136113518,IND,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,503143.2,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.5657,,Lakhanpur Coal Mine,Lignite,POINT(83.8401 21.7451)
136113492,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,53.79605271,tonnes_coal_extracted,2022-10-10 23:24:31.552052,,Black Thunder Coal Mine,Subbituminous,POINT(-105.3 43.66)
136113518,IND,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,1392930,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.565711,,Lakhanpur Coal Mine,Lignite,POINT(83.8401 21.7451)
136113492,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,59472,1105.5,tonnes_gas_per_coal_extracted,,coal_mine_depth,,53.79605271,tonnes_coal_extracted,2022-10-10 23:24:31.552065,,Black Thunder Coal Mine,Subbituminous,POINT(-105.3 43.66)
136113519,KAZ,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,20,tonnes_coal_extracted,2022-10-10 23:24:31.566133,,Vostochny Coal Mine (Kazakhstan),Bituminous,POINT(76.860478 52.083831)
136113492,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,53.79605271,tonnes_coal_extracted,2022-10-10 23:24:31.552078,,Black Thunder Coal Mine,Subbituminous,POINT(-105.3 43.66)
136113519,KAZ,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,70350,3517.5,tonnes_gas_per_coal_extracted,,coal_mine_depth,,20,tonnes_coal_extracted,2022-10-10 23:24:31.566145,,Vostochny Coal Mine (Kazakhstan),Bituminous,POINT(76.860478 52.083831)
136113492,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,1772251.78,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,53.79605271,tonnes_coal_extracted,2022-10-10 23:24:31.552094,,Black Thunder Coal Mine,Subbituminous,POINT(-105.3 43.66)
136113519,KAZ,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,20,tonnes_coal_extracted,2022-10-10 23:24:31.56616,,Vostochny Coal Mine (Kazakhstan),Bituminous,POINT(76.860478 52.083831)
