asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,created_date,modified_date,asset_name,asset_type,st_astext
5110423,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,n2o,,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,2010570.127,,,2022-10-20 08:17:59.515809,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,1778953.276,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2,486560.9607,0.049384205,,2022-10-20 08:17:59.516032,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,3402639.158,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,12516.89322,0.00127042,,2022-10-20 08:17:59.516039,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,982007.8765,0.021146867,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.516047,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,28312.33169,0.000609687,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,859564.3786,,,2022-10-20 08:17:59.516058,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,1577341.076,,,2022-10-20 08:17:59.516064,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,1825715.361,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,756077.4713,0.04979252,,2022-10-20 08:17:59.516282,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,3495186.455,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,19897.29088,0.001310363,,2022-10-20 08:17:59.516288,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,1204720.146,0.021208362,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.516296,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,33855.90455,0.000596012,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,1349016.739,,,2022-10-20 08:17:59.516303,,Tunu-NG,Gas,POINT(5.6238 4.8932)
